#\tilde{\Omega};Ω̃
\to;→
\le;≤
\ge;≥
\dots;…
\parr;⅋
\colon;:
\vert;|
# --------- brackets --------------
\left \{;{
\right \};}
\big(;(
\big);)
\bigg);)
\bigg);)
\Big(;(
\Big);)
\left(;(
\right);)
\left[;[
\right];]
\bigl \{;{
\bigr \};}
# ---------- functions -------------
\arccos
\arcsin
\arctan
\cos
\cosh
\cot
\coth
\csc
\deg
\det
\dim
\exp
\gcd
\hom
\inf
\ker
\lg
\lim
\liminf
\limsup
\ln
\log
\max
\min
\sec
\sin
\sinh
\sup
\tan
\tanh
\mod
# ---------- special letters -------
\tilde{O};Õ
\tilde{o};õ
\smalltriangleright;▹;025B9
\bigtriangledown;▽;025BD
\blacktriangledown;▾;025BE
\smalltriangledown;▿;025BF
\LHD;◀;025C0
\lhd;◁;025C1
\blacktriangleleft;◂;025C2
\smalltriangleleft;◃;025C3
\Diamondblack;◆;025C6
\Diamond;◇;025C7
\lozenge;◊;025CA
\Circle;○;025CB
\CIRCLE;●;025CF
\LEFTcircle;◐;025D0
\RIGHTcircle;◑;025D1
\LEFTCIRCLE;◖;025D6
\RIGHTCIRCLE;◗;025D7
\boxbar;◫;025EB
\square;◻;025FB
\blacksquare;◼;025FC
\bigstar;★;02605
\Sun;☉;02609
\Square;☐;02610
\CheckedBox;☑;02611
\XBox;☒;02612
\steaming;☕;02615
\pointright;☞;0261E
\skull;☠;02620
\radiation;☢;02622
\biohazard;☣;02623
\yinyang;☯;0262F
\frownie;☹;02639
\smiley;☺;0263A
\blacksmiley;☻;0263B
\sun;☼;0263C
\rightmoon;☽;0263D
\leftmoon;☾;0263E
\mercury;☿;0263F
\female;♀;02640
\earth;♁;02641
\male;♂;02642
\jupiter;♃;02643
\saturn;♄;02644
\uranus;♅;02645
\neptune;♆;02646
\pluto;♇;02647
\aries;♈;02648
\taurus;♉;02649
\gemini;♊;0264A
\cancer;♋;0264B
\leo;♌;0264C
\virgo;♍;0264D
\libra;♎;0264E
\scorpio;♏;0264F
\sagittarius;♐;02650
\capricornus;♑;02651
\aquarius;♒;02652
\pisces;♓;02653
\spadesuit;♠;02660
\heartsuit;♡;02661
\diamondsuit;♢;02662
\clubsuit;♣;02663
\varspadesuit;♤;02664
\varheartsuit;♥;02665
\vardiamondsuit;♦;02666
\varclubsuit;♧;02667
\quarternote;♩;02669
\eighthnote;♪;0266A
\twonotes;♫;0266B
\sixteenthnote;♬;0266C
\flat;♭;0266D
\natural;♮;0266E
\sharp;♯;0266F
\recycle;♻;0267B
\anchor;⚓;02693
\swords;⚔;02694
\warning;⚠;026A0
\medcirc;⚪;026AA
\medbullet;⚫;026AB
\pencil;✎;0270E
\checkmark;✓;02713
\ballotx;✗;02717
\maltese;✠;02720
\arrowbullet;➢;027A2
\perp;⟂;027C2
\Lbag;⟅;027C5
\Rbag;⟆;027C6
\Diamonddot;⟐;027D0
\multimapinv;⟜;027DC
\llbracket;⟦;027E6
\rrbracket;⟧;027E7
\langle;⟨;027E8
\rangle;⟩;027E9
\lang;⟪;027EA
\rang;⟫;027EB
\lgroup;⟮;027EE
\rgroup;⟯;027EF
\longleftarrow;⟵;027F5
\longrightarrow;⟶;027F6
\longleftrightarrow;⟷;027F7
\Longleftarrow;⟸;027F8
\Longrightarrow;⟹;027F9
\Longleftrightarrow;⟺;027FA
\longmapsfrom;⟻;027FB
\longmapsto;⟼;027FC
\Longmapsfrom;⟽;027FD
\Longmapsto;⟾;027FE
\psur;⤀;02900
\Mapsfrom;⤆;02906
\Mapsto;⤇;02907
\UpArrowBar;⤒;02912
\DownArrowBar;⤓;02913
\pinj;⤔;02914
\finj;⤕;02915
\bij;⤖;02916
\leadsto;⤳;02933
\leftrightharpoon;⥊;0294A
\rightleftharpoon;⥋;0294B
\leftrightharpoonup;⥎;0294E
\rightupdownharpoon;⥏;0294F
\leftrightharpoondown;⥐;02950
\leftupdownharpoon;⥑;02951
\LeftVectorBar;⥒;02952
\RightVectorBar;⥓;02953
\RightUpVectorBar;⥔;02954
\RightDownVectorBar;⥕;02955
\DownLeftVectorBar;⥖;02956
\DownRightVectorBar;⥗;02957
\LeftUpVectorBar;⥘;02958
\LeftDownVectorBar;⥙;02959
\LeftTeeVector;⥚;0295A
\RightTeeVector;⥛;0295B
\RightUpTeeVector;⥜;0295C
\RightDownTeeVector;⥝;0295D
\DownLeftTeeVector;⥞;0295E
\DownRightTeeVector;⥟;0295F
\LeftUpTeeVector;⥠;02960
\LeftDownTeeVector;⥡;02961
\leftleftharpoons;⥢;02962
\upupharpoons;⥣;02963
\rightrightharpoons;⥤;02964
\downdownharpoons;⥥;02965
\leftbarharpoon;⥪;0296A
\barleftharpoon;⥫;0296B
\rightbarharpoon;⥬;0296C
\barrightharpoon;⥭;0296D
\updownharpoons;⥮;0296E
\downupharpoons;⥯;0296F
\strictfi;⥼;0297C
\strictif;⥽;0297D
\VERT;⦀;02980
\spot;⦁;02981
\Lparen;⦅;02985
\Rparen;⦆;02986
\limg;⦇;02987
\rimg;⦈;02988
\lblot;⦉;02989
\rblot;⦊;0298A
\circledbslash;⦸;029B8
\circledless;⧀;029C0
\circledgtr;⧁;029C1
\boxslash;⧄;029C4
\boxbslash;⧅;029C5
\boxast;⧆;029C6
\boxcircle;⧇;029C7
\boxbox;⧈;029C8
\LeftTriangleBar;⧏;029CF
